"GEO_ID","NAME","B28002_001E","B28002_001M","B28002_002E","B28002_002M","B28002_003E","B28002_003M","B28002_004E","B28002_004M","B28002_005E","B28002_005M","B28002_006E","B28002_006M","B28002_007E","B28002_007M","B28002_008E","B28002_008M","B28002_009E","B28002_009M","B28002_010E","B28002_010M","B28002_011E","B28002_011M","B28002_012E","B28002_012M","B28002_013E","B28002_013M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!With an Internet subscription","Margin of Error!!Total!!With an Internet subscription","Estimate!!Total!!With an Internet subscription!!Dial-up with no other type of Internet subscription","Margin of Error!!Total!!With an Internet subscription!!Dial-up with no other type of Internet subscription","Estimate!!Total!!With an Internet subscription!!Broadband of any type","Margin of Error!!Total!!With an Internet subscription!!Broadband of any type","Estimate!!Total!!With an Internet subscription!!Cellular data plan","Margin of Error!!Total!!With an Internet subscription!!Cellular data plan","Estimate!!Total!!With an Internet subscription!!Cellular data plan!!Cellular data plan with no other type of Internet subscription","Margin of Error!!Total!!With an Internet subscription!!Cellular data plan!!Cellular data plan with no other type of Internet subscription","Estimate!!Total!!With an Internet subscription!!Broadband such as cable, fiber optic or DSL","Margin of Error!!Total!!With an Internet subscription!!Broadband such as cable, fiber optic or DSL","Estimate!!Total!!With an Internet subscription!!Broadband such as cable, fiber optic or DSL!!Broadband such as cable, fiber optic or DSL with no other type of Internet subscription","Margin of Error!!Total!!With an Internet subscription!!Broadband such as cable, fiber optic or DSL!!Broadband such as cable, fiber optic or DSL with no other type of Internet subscription","Estimate!!Total!!With an Internet subscription!!Satellite Internet service","Margin of Error!!Total!!With an Internet subscription!!Satellite Internet service","Estimate!!Total!!With an Internet subscription!!Satellite Internet service!!Satellite Internet service with no other type of Internet subscription","Margin of Error!!Total!!With an Internet subscription!!Satellite Internet service!!Satellite Internet service with no other type of Internet subscription","Estimate!!Total!!With an Internet subscription!!Other service with no other type of Internet subscription","Margin of Error!!Total!!With an Internet subscription!!Other service with no other type of Internet subscription","Estimate!!Total!!Internet access without a subscription","Margin of Error!!Total!!Internet access without a subscription","Estimate!!Total!!No Internet access","Margin of Error!!Total!!No Internet access"
"1400000US36047111600","Census Tract 1116, Kings County, New York","996","99","863","118","0","11","863","118","264","102","57","60","806","125","535","144","64","65","0","11","0","11","75","68","58","60"
"1400000US36047111800","Census Tract 1118, Kings County, New York","1076","102","779","125","0","11","779","125","304","109","36","31","722","127","475","128","41","30","0","11","0","11","23","26","274","107"
"1400000US36047112000","Census Tract 1120, Kings County, New York","1070","93","807","126","24","39","783","129","282","109","19","27","749","121","475","119","63","43","0","11","0","11","34","32","229","105"
"1400000US36047112200","Census Tract 1122, Kings County, New York","1196","94","862","129","0","11","862","129","395","150","66","58","770","122","445","122","75","64","0","11","0","11","25","38","309","99"
"1400000US36047112400","Census Tract 1124, Kings County, New York","1235","95","1010","127","0","11","1010","127","457","130","77","48","913","130","523","147","25","19","7","15","0","11","142","94","83","54"
"1400000US36047112600","Census Tract 1126, Kings County, New York","1341","102","787","161","29","41","758","150","418","136","58","46","679","143","340","115","11","18","0","11","0","11","116","76","438","130"
"1400000US36047112800","Census Tract 1128, Kings County, New York","1477","97","973","152","22","37","951","146","584","134","116","78","835","142","341","129","36","42","0","11","0","11","49","48","455","140"
"1400000US36047113000","Census Tract 1130, Kings County, New York","1482","96","1177","120","0","11","1177","120","718","170","150","94","1018","139","448","164","46","32","0","11","0","11","46","56","259","119"
"1400000US36047113200","Census Tract 1132, Kings County, New York","611","54","509","68","4","7","505","68","224","74","34","37","440","68","273","70","38","27","8","11","0","11","18","18","84","51"
"1400000US36047113400","Census Tract 1134, Kings County, New York","908","47","669","60","0","11","669","60","361","82","45","27","618","64","301","78","13","13","0","11","0","11","30","24","209","59"
"1400000US36047114201","Census Tract 1142.01, Kings County, New York","530","65","403","67","0","11","403","67","253","77","18","28","371","71","144","62","22","24","0","11","0","11","21","18","106","47"
"1400000US36047114202","Census Tract 1142.02, Kings County, New York","898","54","709","85","0","11","709","85","413","112","23","25","686","86","284","101","21","21","0","11","0","11","0","11","189","82"
"1400000US36047114400","Census Tract 1144, Kings County, New York","702","70","497","82","0","11","497","82","270","96","36","34","448","79","182","69","55","41","13","21","0","11","42","34","163","63"
"1400000US36047114600","Census Tract 1146, Kings County, New York","1003","52","673","87","7","10","666","87","310","74","96","44","565","85","340","84","42","34","5","9","0","11","44","38","286","81"
"1400000US36047115000","Census Tract 1150, Kings County, New York","892","77","642","96","0","11","642","96","326","80","60","45","574","95","302","71","8","11","0","11","0","11","30","27","220","68"
"1400000US36047115200","Census Tract 1152, Kings County, New York","997","79","754","90","0","11","754","90","510","91","126","51","628","92","206","66","33","32","0","11","0","11","35","31","208","70"
"1400000US36047115600","Census Tract 1156, Kings County, New York","1605","86","995","136","0","11","995","136","631","136","108","67","839","126","339","119","71","58","0","11","0","11","58","45","552","130"
"1400000US36047115800","Census Tract 1158, Kings County, New York","948","79","676","102","0","11","676","102","430","95","162","60","508","86","240","72","9","12","0","11","0","11","20","21","252","76"
"1400000US36047116000","Census Tract 1160, Kings County, New York","922","47","667","99","0","11","667","99","420","98","81","69","576","98","237","80","13","14","6","9","0","11","21","22","234","82"
"1400000US36047116200","Census Tract 1162, Kings County, New York","774","63","545","82","9","14","536","83","242","76","29","24","496","81","259","78","35","28","11","17","0","11","31","41","198","66"
"1400000US36047116400","Census Tract 1164, Kings County, New York","1000","74","697","93","0","11","697","93","279","82","51","34","639","93","411","88","12","13","7","11","0","11","8","12","295","86"
"1400000US36047116600","Census Tract 1166, Kings County, New York","964","66","770","92","6","9","764","94","355","83","69","47","668","96","405","92","22","24","4","6","0","11","19","21","175","73"
"1400000US36047116800","Census Tract 1168, Kings County, New York","594","62","482","74","0","11","482","74","178","56","50","42","432","77","294","78","14","18","0","11","0","11","17","27","95","47"
"1400000US36047117000","Census Tract 1170, Kings County, New York","499","54","396","70","0","11","396","70","195","59","104","45","280","73","194","72","16","18","0","11","0","11","19","23","84","50"
"1400000US36047117201","Census Tract 1172.01, Kings County, New York","746","76","592","84","6","8","586","83","335","82","37","38","515","83","246","86","29","32","0","11","5","8","33","32","121","52"
"1400000US36047117202","Census Tract 1172.02, Kings County, New York","1153","97","834","130","0","11","834","130","238","91","41","41","754","128","566","121","50","37","30","36","0","11","25","26","294","96"
"1400000US36047117400","Census Tract 1174, Kings County, New York","1139","90","1054","87","0","11","1054","87","271","102","50","54","968","101","736","116","47","42","23","29","0","11","13","20","72","56"
"1400000US36047117601","Census Tract 1176.01, Kings County, New York","893","52","659","87","0","11","659","87","322","79","46","28","595","88","337","81","25","27","0","11","0","11","69","47","165","68"
"1400000US36047117602","Census Tract 1176.02, Kings County, New York","953","77","622","86","10","15","612","84","221","61","37","30","561","93","354","77","30","23","14","23","0","11","28","28","303","76"
"1400000US36047117800","Census Tract 1178, Kings County, New York","485","42","333","62","0","11","333","62","160","49","49","34","275","58","170","53","3","6","0","11","0","11","14","22","138","54"
"1400000US36047118000","Census Tract 1180, Kings County, New York","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11"
"1400000US36047118201","Census Tract 1182.01, Kings County, New York","899","62","710","84","0","11","710","84","204","70","30","27","636","86","481","78","54","37","25","21","0","11","25","28","164","67"
"1400000US36047118202","Census Tract 1182.02, Kings County, New York","947","64","852","76","7","10","845","77","286","90","84","51","753","82","477","95","85","45","8","12","0","11","6","9","89","52"
"1400000US36047118400","Census Tract 1184, Kings County, New York","1454","110","1130","132","13","20","1117","127","358","117","65","55","1052","136","726","134","20","26","0","16","0","16","11","16","313","112"
"1400000US36047118600","Census Tract 1186, Kings County, New York","742","77","574","84","8","11","566","84","154","61","0","11","566","84","412","82","0","11","0","11","0","11","0","11","168","63"
"1400000US36047118800","Census Tract 1188, Kings County, New York","1401","81","1035","124","0","11","1035","124","280","118","41","50","958","121","676","144","103","59","30","36","0","11","28","34","338","110"
"1400000US36047119000","Census Tract 1190, Kings County, New York","711","47","529","73","0","11","529","73","148","60","17","16","512","73","362","72","15","22","0","11","0","11","29","27","153","60"
"1400000US36047119200","Census Tract 1192, Kings County, New York","1073","100","667","126","0","11","667","126","168","82","20","22","647","130","487","129","0","11","0","11","0","11","10","16","396","106"
"1400000US36047119400","Census Tract 1194, Kings County, New York","1187","93","831","118","0","11","831","118","248","74","60","46","771","117","560","112","17","20","0","11","0","11","64","54","292","97"
"1400000US36047119600","Census Tract 1196, Kings County, New York","1779","138","1221","159","15","24","1206","159","337","98","97","59","1089","163","848","152","27","32","10","15","0","11","59","50","499","137"
"1400000US36047119800","Census Tract 1198, Kings County, New York","1005","85","785","106","10","16","775","105","452","139","72","63","703","120","316","120","13","19","0","11","0","11","36","33","184","90"
"1400000US36047120000","Census Tract 1200, Kings County, New York","736","55","600","71","0","11","600","71","211","58","7","12","584","74","383","76","23","17","0","11","0","11","13","14","123","60"
"1400000US36047120200","Census Tract 1202, Kings County, New York","527","48","439","76","0","11","439","76","141","57","0","11","439","76","256","76","69","50","0","11","0","11","0","11","88","55"
"1400000US36047120800","Census Tract 1208, Kings County, New York","3314","212","2270","268","0","16","2270","268","705","206","172","104","2081","277","1497","317","114","81","0","16","17","26","154","121","890","224"
"1400000US36047121000","Census Tract 1210, Kings County, New York","1525","68","1098","140","0","11","1098","140","233","117","45","32","1044","138","829","135","12","27","0","11","0","11","7","14","420","128"
"1400000US36047121400","Census Tract 1214, Kings County, New York","1659","24","1193","134","0","11","1193","134","368","121","102","68","1073","148","758","157","70","58","10","15","0","11","22","34","444","121"
"1400000US36047122000","Census Tract 1220, Kings County, New York","2163","158","1868","225","0","16","1868","225","635","192","164","118","1675","227","1137","235","119","105","29","48","0","16","66","78","229","133"
"1400000US36047123700","Census Tract 1237, Kings County, New York","1279","109","612","124","0","16","612","124","312","104","84","51","528","125","271","110","29","38","0","16","0","16","58","49","609","109"
"1400000US36047150200","Census Tract 1502, Kings County, New York","1007","67","917","76","5","10","912","76","423","82","31","23","881","79","471","101","27","32","0","11","0","11","26","23","64","38"
"1400000US36047152200","Census Tract 1522, Kings County, New York","1090","61","1003","71","0","11","1003","71","596","87","62","44","900","96","348","88","73","52","22","21","0","11","17","21","70","53"
"1400000US36047990100","Census Tract 9901, Kings County, New York","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11"
"1400000US36061000100","Census Tract 1, New York County, New York","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11"
"1400000US36061000201","Census Tract 2.01, New York County, New York","985","79","416","110","0","11","416","110","171","60","13","21","400","108","235","102","0","11","0","11","0","11","137","85","432","126"
"1400000US36061000202","Census Tract 2.02, New York County, New York","3434","183","1926","241","0","16","1926","241","1094","217","48","45","1861","249","814","214","49","50","0","16","0","16","251","139","1257","252"
"1400000US36061000500","Census Tract 5, New York County, New York","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11"
"1400000US36061000600","Census Tract 6, New York County, New York","4098","255","1964","395","29","48","1935","391","1042","322","128","104","1784","381","893","310","61","88","0","18","0","18","270","170","1864","361"
"1400000US36061000700","Census Tract 7, New York County, New York","4322","373","4200","402","0","16","4200","402","3233","398","266","153","3877","434","910","267","117","105","0","16","57","91","46","73","76","88"
"1400000US36061000800","Census Tract 8, New York County, New York","3651","206","1973","250","11","18","1962","246","1044","243","98","84","1847","257","888","262","39","52","0","16","0","16","16","29","1662","264"
"1400000US36061000900","Census Tract 9, New York County, New York","851","72","783","66","0","11","783","66","536","75","16","12","760","66","224","60","22","15","3","4","0","11","30","29","38","37"
"1400000US36061001001","Census Tract 10.01, New York County, New York","799","46","488","73","0","11","488","73","314","65","37","24","445","68","158","47","16","14","6","9","0","11","200","78","111","56"
"1400000US36061001002","Census Tract 10.02, New York County, New York","2468","91","682","204","0","16","682","204","294","117","63","55","601","186","370","145","15","26","0","16","18","40","436","151","1350","231"
"1400000US36061001200","Census Tract 12, New York County, New York","1875","72","979","128","0","11","979","128","701","113","69","43","902","129","258","80","0","11","0","11","8","14","233","110","663","120"
"1400000US36061001300","Census Tract 13, New York County, New York","2573","203","2463","201","0","11","2463","201","1902","184","24","27","2428","201","544","181","55","51","0","11","0","11","110","86","0","11"
"1400000US36061001401","Census Tract 14.01, New York County, New York","1607","92","1210","140","0","11","1210","140","900","142","70","57","1130","144","273","80","27","42","0","11","0","11","76","62","321","89"
"1400000US36061001402","Census Tract 14.02, New York County, New York","1393","74","772","98","0","11","772","98","455","95","15","18","757","95","317","96","14","16","0","11","0","11","127","62","494","84"
"1400000US36061001501","Census Tract 15.01, New York County, New York","3739","254","3138","280","37","42","3101","278","1931","281","78","59","2972","264","1119","285","117","79","19","30","20","32","19","29","582","185"
"1400000US36061001502","Census Tract 15.02, New York County, New York","3135","210","2912","207","0","16","2912","207","2209","239","70","55","2819","211","639","161","80","72","0","16","0","16","83","83","140","93"
"1400000US36061001600","Census Tract 16, New York County, New York","2867","228","1763","236","20","31","1743","234","886","170","38","35","1688","235","840","188","102","68","17","26","0","16","112","106","992","247"
"1400000US36061001800","Census Tract 18, New York County, New York","3149","175","2057","209","0","16","2057","209","1168","199","55","46","1951","212","889","180","42","39","0","16","0","16","76","88","1016","196"
"1400000US36061002000","Census Tract 20, New York County, New York","2001","34","767","132","0","11","767","132","327","98","35","32","725","122","440","112","16","17","0","11","0","11","278","101","956","135"
"1400000US36061002100","Census Tract 21, New York County, New York","2782","197","2635","201","0","16","2635","201","2016","214","129","111","2490","212","562","176","16","25","0","16","16","26","62","52","85","59"
"1400000US36061002201","Census Tract 22.01, New York County, New York","3025","132","1657","223","25","32","1632","219","994","205","97","73","1523","211","626","156","40","41","0","16","0","16","549","198","819","217"
"1400000US36061002202","Census Tract 22.02, New York County, New York","1128","61","655","134","0","11","655","134","317","96","50","55","605","133","328","121","12","18","0","11","0","11","294","119","179","81"
"1400000US36061002400","Census Tract 24, New York County, New York","1879","43","768","171","16","27","752","167","283","113","58","48","694","165","457","147","0","11","0","11","0","11","349","134","762","164"
"1400000US36061002500","Census Tract 25, New York County, New York","2100","76","1025","156","16","18","1009","158","507","140","123","70","861","156","482","105","17","16","11","18","0","16","43","67","1032","158"
"1400000US36061002601","Census Tract 26.01, New York County, New York","1563","81","961","144","0","11","961","144","495","121","68","55","893","143","466","127","16","18","0","11","0","11","211","109","391","117"
"1400000US36061002602","Census Tract 26.02, New York County, New York","2069","123","1544","191","0","11","1544","191","1021","173","166","111","1369","190","514","144","9","16","9","16","0","11","196","102","329","133"
"1400000US36061002700","Census Tract 27, New York County, New York","638","49","388","67","8","12","380","68","244","63","17","15","363","65","136","48","6","9","0","11","0","11","14","14","236","60"
"1400000US36061002800","Census Tract 28, New York County, New York","3421","139","2094","260","0","16","2094","260","1350","239","100","71","1968","257","660","163","42","44","13","22","0","16","549","206","778","197"
"1400000US36061002900","Census Tract 29, New York County, New York","2406","157","1170","202","0","16","1170","202","617","126","109","80","1061","218","539","188","43","42","0","16","0","16","65","67","1171","220"
